Group,file,param,value
WT,15o26002,1,42.426649429187634
WT,15o26005,1,52.01830212212293
WT,15o26008,1,45.72736966490357
WT,15o26014,1,33.059179939730654
WT,15o26017,1,30.31203529501779
WT,15o26020,1,53.09417586424145
WT,15o26023,1,46.04432574661396
WT,15o26031,1,33.048877615271174
WT,15o29002,1,38.06192605539696
WT,15o29009,1,32.97324937952481
WT,15o29012,1,36.44076268501085
WT,15o29015,1,44.046221899062665
WT,15o29021,1,40.680776812723145
WT,15o29024,1,44.1931597795837
WT,15o29027,1,41.1928411699132
WT,15o20002,1,32.86211382896351
WT,15o20005,1,55.914188687084405
WT,15o20010,1,24.71692095210774
WT,15o20015,1,56.34358852430836
WT,15o21003,1,36.86698928678213
WT,15o21008,1,31.349204127573735
WT,15o22002,1,52.997896281334576
WT,15o22008,1,64.23745589108874
WT,15n10002,1,35.00447443002234
WT,15n10009,1,41.0931308338644
WT,15n10012,1,44.2876468895268
WT,15n23002,1,35.75166458429124
WT,15n23005,1,47.8496378493058
WT,15n23008,1,45.30338234185881
WT,15n23019,1,54.6813794494377
WT,15n23022,1,28.13492193828184
Mgat1KO,15o27002,1,45.343656216922426
Mgat1KO,15o27005,1,39.16793570642318
Mgat1KO,15o27010,1,43.00865050496297
Mgat1KO,15o27018,1,44.67824339578198
Mgat1KO,15o27025,1,42.83171819483731
Mgat1KO,15o27028,1,45.21045884617343
Mgat1KO,15o27031,1,41.20239609218204
Mgat1KO,15o28006,1,39.67354206282468
Mgat1KO,15o28009,1,38.63650696573349
Mgat1KO,15o28012,1,36.3768945231429
Mgat1KO,15n03002,1,42.31235368312904
Mgat1KO,15n03005,1,41.42151779818317
Mgat1KO,15n03014,1,42.72833400929457
Mgat1KO,15n03017,1,36.86408455235607
Mgat1KO,15n03028,1,32.75146877200397
Mgat1KO,15n04002,1,46.54045665397263
Mgat1KO,15n04009,1,44.04906356329647
Mgat1KO,15n04014,1,42.08528663488757
Mgat1KO,15n04017,1,44.09720654352832
Mgat1KO,15n04020,1,41.719812351950026
Mgat1KO,15n04023,1,42.76952779411729
Mgat1KO,15n04029,1,44.75694877754613
Mgat1KO,15n09002,1,68.35013609920102
Mgat1KO,15n09005,1,38.14276766608152
Mgat1KO,15n20005,1,35.30277140883198
Mgat1KO,15n20008,1,37.701590984763406
Mgat1KO,15n20012,1,35.99526592912855
Mgat1KO,15n24005,1,45.29563587604728
Mgat1KO,15n24010,1,38.249313870814234
Mgat1KO,15n24013,1,51.62162045283543
WT,15o26002,2,17.93551142995707
WT,15o26005,2,12.093718063651353
WT,15o26008,2,22.234814577908743
WT,15o26014,2,15.477094308283773
WT,15o26017,2,11.260468008770038
WT,15o26020,2,27.025375168587168
WT,15o26023,2,23.645321240916655
WT,15o26031,2,12.297502423175457
WT,15o29002,2,20.86660924552514
WT,15o29009,2,11.830650988648115
WT,15o29012,2,18.49960716660028
WT,15o29015,2,39.99841643447956
WT,15o29021,2,17.13342994650857
WT,15o29024,2,21.96218054635149
WT,15o29027,2,15.659421285393208
WT,15o20002,2,13.344299465030987
WT,15o20005,2,32.888921206546485
WT,15o20010,2,4.468642126809753
WT,15o20015,2,29.987687866151976
WT,15o21003,2,10.535719990079336
WT,15o21008,2,12.930292768211173
WT,15o22002,2,24.48083072594192
WT,15o22008,2,7.537961547932616
WT,15n10002,2,11.43771217722631
WT,15n10009,2,29.086035078997153
WT,15n10012,2,37.08827621024686
WT,15n23002,2,12.594262229740044
WT,15n23005,2,26.888527273675336
WT,15n23008,2,29.38046217798317
WT,15n23019,2,20.3611910868102
WT,15n23022,2,4.969834437609417
Mgat1KO,15o27002,2,8.280809060357774e-05
Mgat1KO,15o27005,2,11.694973760290509
Mgat1KO,15o27010,2,11.377109736884282
Mgat1KO,15o27018,2,35.85216233275135
Mgat1KO,15o27025,2,34.15891713042388
Mgat1KO,15o27028,2,39.150514098837434
Mgat1KO,15o27031,2,38.439043295137346
Mgat1KO,15o28006,2,27.639675244164522
Mgat1KO,15o28009,2,16.264697826104317
Mgat1KO,15o28012,2,20.873152021214672
Mgat1KO,15n03002,2,39.99392040707054
Mgat1KO,15n03005,2,15.264965282346292
Mgat1KO,15n03014,2,19.100177129475735
Mgat1KO,15n03017,2,24.179090482808075
Mgat1KO,15n03028,2,26.417437563493326
Mgat1KO,15n04002,2,29.720218733836415
Mgat1KO,15n04009,2,38.86521466040826
Mgat1KO,15n04014,2,39.98107294822864
Mgat1KO,15n04017,2,39.99932853096323
Mgat1KO,15n04020,2,15.01703579894091
Mgat1KO,15n04023,2,39.932924689853344
Mgat1KO,15n04029,2,39.99949702290845
Mgat1KO,15n09002,2,6.068775245289399
Mgat1KO,15n09005,2,33.291587797985535
Mgat1KO,15n20005,2,8.752913091920824
Mgat1KO,15n20008,2,17.627368096214447
Mgat1KO,15n20012,2,26.7012884265807
Mgat1KO,15n24005,2,31.18293168566734
Mgat1KO,15n24010,2,36.47252809012794
Mgat1KO,15n24013,2,23.67277629686627
WT,15o26002,3,0.0004030435461536244
WT,15o26005,3,2.7079736088543714e-05
WT,15o26008,3,0.00010542622866615623
WT,15o26014,3,2.9630801096314925
WT,15o26017,3,0.00014960265186690554
WT,15o26020,3,2.3014235577230404e-06
WT,15o26023,3,1.256809360426875
WT,15o26031,3,0.7524492805503263
WT,15o29002,3,5.979901616832616
WT,15o29009,3,1.492061728297515e-05
WT,15o29012,3,0.0007541709042064983
WT,15o29015,3,7.029877654576723
WT,15o29021,3,3.849782812460915
WT,15o29024,3,10.878210773208618
WT,15o29027,3,13.242270750697806
WT,15o20002,3,3.285789363874874e-05
WT,15o20005,3,4.512201702792046e-05
WT,15o20010,3,6.480586481716879
WT,15o20015,3,6.200475311432291e-05
WT,15o21003,3,0.6146862432914162
WT,15o21008,3,3.707097395139966
WT,15o22002,3,1.286208517388372e-05
WT,15o22008,3,0.00014190382814481114
WT,15n10002,3,10.189736808092661
WT,15n10009,3,0.09811919356777953
WT,15n10012,3,0.00044043810164631737
WT,15n23002,3,0.0003893458885568572
WT,15n23005,3,3.502566189434388e-06
WT,15n23008,3,6.083581694561264e-06
WT,15n23019,3,1.5236086146576973e-05
WT,15n23022,3,3.549556435447985e-05
Mgat1KO,15o27002,3,33.75029251662505
Mgat1KO,15o27005,3,10.037500413596604
Mgat1KO,15o27010,3,24.31742996751355
Mgat1KO,15o27018,3,0.0007957283689328503
Mgat1KO,15o27025,3,0.00014715016854725392
