File,RMSE
15o26002,1.737962
15o26005,4.016681
15o26008,4.869018
15o26014,6.057456
15o26017,4.628738
15o26020,4.732845
15o26023,3.955917
15o26031,3.531952
15o29002,4.233694
15o29009,5.484995
15o29012,4.240442
15o29015,3.239754
15o29021,3.342927
15o29024,1.906778
15o29027,2.515143
15o20002,4.003576
15o20005,5.09121
15o20010,5.661172
15o20015,6.188145
15o21003,3.712704
15o21008,6.411386
15o22002,2.991015
15o22008,1.8454
15n10002,3.838888
15n10006,8.662894
15n10009,3.595013
15n10012,2.54867
15n23002,5.650529
15n23005,5.734468
15n23008,4.265917
15n23011,7.596249
15n23014,6.793784
15n23019,5.21135
15n23022,4.037971
