File,RMSE
15o27002,1.149898
15o27005,1.771716
15o27010,0.975068
15o27018,0.989352
15o27025,1.420429
15o27028,1.415459
15o27031,1.11127
15o28006,1.876803
15o28009,1.903232
15o28012,1.454793
15n03002,3.912243
15n03005,3.83118
15n03008,4.458107
15n03011,4.282921
15n03014,1.898749
15n03017,1.010262
15n03028,1.361042
15n04002,1.949159
15n04009,1.243392
15n04014,1.823305
15n04017,3.388039
15n04020,3.567063
15n04023,1.958417
15n04026,4.265708
15n04029,2.607569
15n09002,1.36639
15n09005,1.586176
15n20005,1.070932
15n20008,1.183778
15n20012,1.449294
15n24005,2.055461
15n24010,2.548372
15n24013,1.554357
