Group,param,value
WT,1,-8.088168677734775
WT,1,-5.356874858792404
WT,1,-5.561086042647007
WT,1,-5.517045089260683
WT,1,-7.520062886773366
WT,1,-3.042570847543519
WT,1,-2.3523782937518507
WT,1,-16.693202362235546
WT,1,-9.965038741927494
WT,1,-3.4672199087754354
WT,1,6.609821361192548
WT,1,-16.66014249630217
WT,1,-0.12242596501169126
WT,1,0.393383532677028
WT,1,-11.631389163485927
WT,1,-3.9603006771069142
WT,1,-14.697071058621582
WT,1,-7.144653349227558
WT,1,-8.863163509146759
WT,1,-3.81819967856003
WT,1,-1.8584041202839052
WT,1,-9.882761950886763
WT,1,-6.319259063596017
WT,1,-6.751302257543914
WT,1,-11.866490360366193
WT,1,-6.689348605480488
WT,1,-10.570832164634009
WT,1,-3.8810092093320945
WT,1,-6.206081916618962
WT,1,-6.52780189659682
WT,1,-2.4457625482988323
WT,1,-13.040777648337633
WT,1,-1.9897211690716399
WT,1,-5.889523717498118
Mgat1KO,1,1.1876684612359092
Mgat1KO,1,-17.53675970611611
Mgat1KO,1,-11.157347900922991
Mgat1KO,1,1.1951368658664197
Mgat1KO,1,-10.49268440466036
Mgat1KO,1,-8.293274524190632
Mgat1KO,1,-11.442363671148179
Mgat1KO,1,-7.291007305750895
Mgat1KO,1,-3.843107308237497
Mgat1KO,1,-7.3233498235054295
Mgat1KO,1,-5.307514488312414
Mgat1KO,1,-10.749844025263402
Mgat1KO,1,-9.157253441856678
Mgat1KO,1,7.44474386575307
Mgat1KO,1,-15.964878990325234
Mgat1KO,1,1.8860192919461287
Mgat1KO,1,5.890426824873525
Mgat1KO,1,-4.271750654769315
Mgat1KO,1,-15.228624329416697
Mgat1KO,1,-1.3357484701382336
Mgat1KO,1,-3.0317869579293713
Mgat1KO,1,1.3882786658514705
Mgat1KO,1,-3.091633670986218
Mgat1KO,1,-11.626198917257463
Mgat1KO,1,-9.532930670076126
Mgat1KO,1,2.182595019759692
Mgat1KO,1,-13.133130754859486
Mgat1KO,1,-2.9009357114525827
Mgat1KO,1,-8.666339286670832
Mgat1KO,1,-6.140541633712494
Mgat1KO,1,-7.505780033185494
Mgat1KO,1,-3.7891084644511546
Mgat1KO,1,-6.67805705136713
WT,2,19.35115760843449
WT,2,17.90046527261993
WT,2,29.390952483929052
WT,2,13.19747438528208
WT,2,12.809096229683954
WT,2,23.55683360499491
WT,2,16.32251285993583
WT,2,10.385801941065782
WT,2,12.627011424940752
WT,2,17.677742385896167
WT,2,30.000238360438008
WT,2,0.7694439315440396
WT,2,31.125572901012823
WT,2,30.702187266698164
WT,2,5.69763852280564
WT,2,22.411648540973204
WT,2,4.23227153089403
WT,2,11.474144724863395
WT,2,11.459969479067295
WT,2,33.49129823642701
WT,2,40.44203925988716
WT,2,15.704100785469487
WT,2,17.944861899029927
WT,2,17.029613654312477
WT,2,8.875452664126275
WT,2,14.642104794947828
WT,2,2.703187860440865
WT,2,17.53901046278959
WT,2,15.797796762121504
WT,2,22.816782760680166
WT,2,22.327922808073417
WT,2,9.659624771664884
WT,2,22.583251077344723
WT,2,26.022726382094117
Mgat1KO,2,29.766609657132037
Mgat1KO,2,-5.281150999487047
Mgat1KO,2,21.868553941564272
Mgat1KO,2,30.711781580053426
Mgat1KO,2,1.8999716246419462
Mgat1KO,2,26.913713608076815
Mgat1KO,2,11.811602099593728
Mgat1KO,2,23.703497019877545
Mgat1KO,2,30.44469671036978
Mgat1KO,2,20.917577359361708
Mgat1KO,2,23.39721936255344
Mgat1KO,2,-4.512424243217581
Mgat1KO,2,1.7233541049930128
Mgat1KO,2,24.45245521362836
Mgat1KO,2,-3.001495247715902
Mgat1KO,2,15.453307368536613
