Group,file,param,value
WT,15n10002,1,6.291445464848978
WT,15n10006,1,4.312084782586929
WT,15n10009,1,7.427333594502617
WT,15n10012,1,5.471880287555896
WT,15n23002,1,7.424726813403883
WT,15n23005,1,3.42227758175076
WT,15n23008,1,-1.0505824322278032
WT,15n23011,1,3.284795548333835
WT,15n23014,1,2.9731046055749655
WT,15n23019,1,0.8414591643173328
WT,15n23022,1,-3.504683204284302
WT,15o20002,1,5.953677923215639
WT,15o20005,1,5.166243303997064
WT,15o20010,1,-2.4252658457349527
WT,15o20015,1,2.2945964960610055
WT,15o21003,1,5.372460844706806
WT,15o21008,1,3.693745476349054
WT,15o22002,1,1.6849051551053058
WT,15o22008,1,4.026247058815118
WT,15o26002,1,3.6127846318596526
WT,15o26005,1,-7.140842944927758
WT,15o26008,1,-1.0244538498910036
WT,15o26014,1,4.4786680856946255
WT,15o26017,1,0.3410618563273944
WT,15o26020,1,4.767672334933922
WT,15o26023,1,7.1791542196199325
WT,15o26031,1,-1.1364768054153966
WT,15o29002,1,3.3855147298447905
WT,15o29009,1,-0.42975948353391813
WT,15o29012,1,7.64678911861916
WT,15o29015,1,4.6186966033329755
WT,15o29021,1,6.082141264195609
WT,15o29024,1,4.513360361169975
WT,15o29027,1,1.780316934952951
Mgat1KO,15n03002,1,1.3274457111794087
Mgat1KO,15n03005,1,6.82134097830662
Mgat1KO,15n03008,1,-2.8530704060208283
Mgat1KO,15n03011,1,-4.118558349075741
Mgat1KO,15n03014,1,-4.243593665906074
Mgat1KO,15n03017,1,1.3312081115233714
Mgat1KO,15n03028,1,-0.6565772012962929
Mgat1KO,15n04002,1,0.6953842271669767
Mgat1KO,15n04009,1,2.380529259379157
Mgat1KO,15n04014,1,-1.5672340283829458
Mgat1KO,15n04017,1,4.686020460894006
Mgat1KO,15n04020,1,1.13899395993765
Mgat1KO,15n04023,1,5.303853975828907
Mgat1KO,15n04026,1,2.3324658227026838
Mgat1KO,15n04029,1,-0.18305047609638983
Mgat1KO,15n09002,1,-1.5916612391703224
Mgat1KO,15n09005,1,1.9254367021873269
Mgat1KO,15n20005,1,-8.053258760036076
Mgat1KO,15n20008,1,-3.2634349178700535
Mgat1KO,15n20012,1,-4.126663917750311
Mgat1KO,15n24005,1,2.3567828230965997
Mgat1KO,15n24010,1,-1.4244386982498984
