Group,file,param,value
WT,15n10002,1,0.09632487204037027
WT,15n10006,1,0.1440168518596179
WT,15n10009,1,0.11790097436755816
WT,15n10012,1,0.12699920638229686
WT,15n23002,1,0.1467667841231922
WT,15n23005,1,0.012042158942795487
WT,15n23008,1,0.015854019695050167
WT,15n23011,1,0.19182510197871183
WT,15n23014,1,0.18243382518090837
WT,15n23019,1,2.0887587058228417e-05
WT,15n23022,1,0.049743303998390664
WT,15o20002,1,0.05969498135177533
WT,15o20005,1,2.5926331702214e-05
WT,15o20010,1,0.08076571091148653
WT,15o20015,1,0.17683591185884473
WT,15o21003,1,0.14351424411635885
WT,15o21008,1,0.08916915259408377
WT,15o22002,1,0.0002263545929132677
WT,15o22008,1,8.679568932630226e-06
WT,15o26002,1,0.036688394754420865
WT,15o26005,1,0.04816883087256788
WT,15o26008,1,0.05584271494564361
WT,15o26014,1,0.1045150618824039
WT,15o26017,1,0.1466611021064383
WT,15o26020,1,0.030543292650540316
WT,15o26023,1,0.0338799260174896
WT,15o26031,1,0.08451084718812792
WT,15o29002,1,0.08042305260005775
WT,15o29009,1,0.17811302072380772
WT,15o29012,1,0.12225946140922538
WT,15o29015,1,0.10179315876805477
WT,15o29021,1,0.07975187713209331
WT,15o29024,1,0.06479460100408188
WT,15o29027,1,0.0642480805192967
Mgat1KO,15n03002,1,0.09067175616491865
Mgat1KO,15n03005,1,0.08945875467687656
Mgat1KO,15n03008,1,0.05633418571970393
Mgat1KO,15n03011,1,0.024795927291891794
Mgat1KO,15n03014,1,0.27794097221280956
Mgat1KO,15n03017,1,0.9984656092086645
Mgat1KO,15n03028,1,0.05693423890240129
Mgat1KO,15n04002,1,0.0703485447836671
Mgat1KO,15n04009,1,0.06624667610330859
Mgat1KO,15n04014,1,0.01734759146219292
Mgat1KO,15n04017,1,0.11248393523033764
Mgat1KO,15n04020,1,0.08310569248761523
Mgat1KO,15n04023,1,0.07125374363346358
Mgat1KO,15n04026,1,0.0963135161380231
Mgat1KO,15n04029,1,0.10175778007334606
Mgat1KO,15n09002,1,0.019708009759556167
Mgat1KO,15n09005,1,0.07958663519244337
Mgat1KO,15n20005,1,0.22006312192108773
Mgat1KO,15n20008,1,0.17849171538151054
Mgat1KO,15n20012,1,0.10728790037123688
Mgat1KO,15n24005,1,0.9149335701575133
Mgat1KO,15n24010,1,0.09464811149669831
Mgat1KO,15n24013,1,0.16729823930606916
Mgat1KO,15o27002,1,0.0378349467949456
Mgat1KO,15o27005,1,0.030370545351004346
Mgat1KO,15o27010,1,0.049462697220952596
Mgat1KO,15o27018,1,0.05179177450203418
Mgat1KO,15o27025,1,0.055109200405500554
Mgat1KO,15o27028,1,0.06364449080822625
Mgat1KO,15o27031,1,0.05242198761454091
Mgat1KO,15o28006,1,0.08143708565503782
Mgat1KO,15o28009,1,0.07745324925018754
Mgat1KO,15o28012,1,0.11257169628578974
WT,15n10002,2,1999.9856165884532
WT,15n10006,2,1999.9840011289402
WT,15n10009,2,1999.9872607018688
WT,15n10012,2,1999.9869247011147
WT,15n23002,2,1999.998715854149
WT,15n23005,2,334.9629505480705
WT,15n23008,2,379.6219504042943
WT,15n23011,2,1999.9947106770323
WT,15n23014,2,1999.99895204172
WT,15n23019,2,254.05288414785107
WT,15n23022,2,1999.9945671258358
WT,15o20002,2,1865.3178599913101
WT,15o20005,2,177.98723696588172
WT,15o20010,2,1999.9959684189805
WT,15o20015,2,1999.991984265239
WT,15o21003,2,1999.9945989137977
WT,15o21008,2,1999.9876513042025
WT,15o22002,2,149.1902367455126
WT,15o22008,2,216.05342651316272
WT,15o26002,2,676.7008224454454
WT,15o26005,2,1999.9970973716868
WT,15o26008,2,1999.99751860208
WT,15o26014,2,1999.9830777816228
WT,15o26017,2,1999.9844262353745
WT,15o26020,2,606.1473238220904
WT,15o26023,2,666.5335571366413
WT,15o26031,2,1999.9697714790846
WT,15o29002,2,1999.9891697387368
WT,15o29009,2,1999.9943953056068
WT,15o29012,2,1999.9992451610638
WT,15o29015,2,1999.566803899639
WT,15o29021,2,1999.9837597013989
WT,15o29024,2,1999.9946721663257
WT,15o29027,2,1999.9933378157377
Mgat1KO,15n03002,2,1999.9727392857228
Mgat1KO,15n03005,2,1999.99517210342
Mgat1KO,15n03008,2,1999.9845665086807
Mgat1KO,15n03011,2,499.5308610865533
Mgat1KO,15n03014,2,1999.565707638323
Mgat1KO,15n03017,2,952.3717486959254
Mgat1KO,15n03028,2,626.8884640867949
Mgat1KO,15n04002,2,1999.9958736106469
Mgat1KO,15n04009,2,1455.8303459457647
Mgat1KO,15n04014,2,320.304610939653
Mgat1KO,15n04017,2,1999.9750463415112
Mgat1KO,15n04020,2,1999.9990962737454
Mgat1KO,15n04023,2,1202.4302404626412
Mgat1KO,15n04026,2,1999.9902172656853
Mgat1KO,15n04029,2,1999.9807230795536
Mgat1KO,15n09002,2,283.5689929882617
Mgat1KO,15n09005,2,1999.9642712920074
Mgat1KO,15n20005,2,1999.87412755131
Mgat1KO,15n20008,2,331.0928924848723
Mgat1KO,15n20012,2,1999.8768077353122
Mgat1KO,15n24005,2,13.873547013031667
Mgat1KO,15n24010,2,1999.9753258213789
Mgat1KO,15n24013,2,1999.9858097576816
Mgat1KO,15o27002,2,800.0165500577123
Mgat1KO,15o27005,2,850.6426096695209
Mgat1KO,15o27010,2,791.4578707127016
Mgat1KO,15o27018,2,670.2840262284996
Mgat1KO,15o27025,2,1483.7569592282798
Mgat1KO,15o27028,2,1234.8150339109654
Mgat1KO,15o27031,2,450.63735214220645
Mgat1KO,15o28006,2,1999.7870692818874
Mgat1KO,15o28009,2,1999.9564684978525
Mgat1KO,15o28012,2,1999.940710232449
WT,15n10002,3,68.60504768771548
WT,15n10006,3,93.3936742611544
WT,15n10009,3,91.94505011032258
WT,15n10012,3,99.99970600740737
WT,15n23002,3,78.19061558087483
