,Group,file,param,value
0,WT,15n10002,2,5000.021594937397
1,WT,15n10006,2,5000.115639853925
2,WT,15n10009,2,5000.030604599393
3,WT,15n10012,2,5000.051583560233
4,WT,15n23002,2,5000.0059592702855
5,WT,15n23005,2,9363.941787143609
6,WT,15n23008,2,8500.259859780102
7,WT,15n23011,2,7589.43363628583
8,WT,15n23014,2,8077.969724558831
9,WT,15n23019,2,5313.257509974774
10,WT,15n23022,2,7367.269216755659
11,WT,15o20002,2,5000.011775508888
12,WT,15o20005,2,5368.6447986045605
13,WT,15o20010,2,5000.001181358512
14,WT,15o20015,2,7185.022795670606
15,WT,15o21003,2,9281.906128762397
16,WT,15o21008,2,5000.024751423086
17,WT,15o22002,2,6970.668645204862
18,WT,15o22008,2,5000.004631845547
19,WT,15o26002,2,5000.006689428138
20,WT,15o26005,2,7495.129620950531
21,WT,15o26008,2,7207.917003238571
22,WT,15o26014,2,5000.030402584501
23,WT,15o26017,2,5000.012679171393
24,WT,15o26020,2,5061.404437297288
25,WT,15o26023,2,5107.428788044735
26,WT,15o26031,2,7543.074244939358
27,WT,15o29002,2,5000.028880581458
28,WT,15o29009,2,5000.001458471205
29,WT,15o29012,2,5000.01298853276
30,WT,15o29015,2,5000.024373294659
31,WT,15o29021,2,5000.031303101483
32,WT,15o29024,2,5000.002529181161
33,WT,15o29027,2,5000.001890975376
34,Mgat1KO,15n03002,2,5000.048005580016
35,Mgat1KO,15n03005,2,5731.263102817136
36,Mgat1KO,15n03008,2,8171.669251095451
37,Mgat1KO,15n03011,2,5000.047184940007
38,Mgat1KO,15n03014,2,5680.889016755747
39,Mgat1KO,15n03017,2,5000.097494802452
40,Mgat1KO,15n03028,2,5000.089978113708
41,Mgat1KO,15n04002,2,5000.010728762559
42,Mgat1KO,15n04009,2,5000.010344203093
43,Mgat1KO,15n04014,2,6961.088622737633
44,Mgat1KO,15n04017,2,8830.762283481616
45,Mgat1KO,15n04020,2,6834.493734107993
46,Mgat1KO,15n04023,2,5000.021530254782
47,Mgat1KO,15n04026,2,8561.32554597686
48,Mgat1KO,15n04029,2,5191.26272186214
49,Mgat1KO,15n09002,2,5095.420003688847
50,Mgat1KO,15n09005,2,5000.494140266415
51,Mgat1KO,15n20005,2,5000.44356652921
