Group,file,param,value
WT,15o26002,2,5000.041188169477
WT,15o26005,2,6512.867518271045
WT,15o26008,2,5538.668230188512
WT,15o26014,2,5000.0179614101635
WT,15o26017,2,5000.013081390252
WT,15o26020,2,6548.886168873466
WT,15o26023,2,5000.155069221017
WT,15o26031,2,5000.053888202294
WT,15o29002,2,5000.015819141047
WT,15o29009,2,5000.007161916966
WT,15o29012,2,5000.079378158488
WT,15o29015,2,5000.100247796301
WT,15o29021,2,5000.033704725135
WT,15o29024,2,5000.008662296716
WT,15o29027,2,5000.033761447525
WT,15o20002,2,5000.015400010704
WT,15o20005,2,9075.607298149094
WT,15o20010,2,5000.006181734355
WT,15o20015,2,5899.061677733382
WT,15o21003,2,5000.04066934342
WT,15o21008,2,5000.02090524129
WT,15o22002,2,6521.5857968986775
WT,15o22008,2,5000.007000321405
WT,15n10002,2,5000.093656192468
WT,15n10009,2,5000.027653633602
WT,15n10012,2,8530.948970296835
WT,15n23002,2,5000.014811935707
WT,15n23005,2,8212.25817027615
WT,15n23008,2,8002.948930142007
WT,15n23019,2,6912.706662283029
WT,15n23022,2,5000.0183520019245
Mgat1KO,15o27002,2,5000.0182353433165
Mgat1KO,15o27005,2,9823.791860268155
Mgat1KO,15o27010,2,5001.908244394374
Mgat1KO,15o27018,2,7042.306238619095
Mgat1KO,15o27025,2,6543.856519650243
Mgat1KO,15o27028,2,5812.08116819385
Mgat1KO,15o27031,2,5000.581291301834
Mgat1KO,15o28006,2,6395.9781113866875
Mgat1KO,15o28009,2,8511.549511720083
Mgat1KO,15o28012,2,5079.983056691674
Mgat1KO,15n03002,2,5907.686185716416
Mgat1KO,15n03005,2,6835.769175389011
Mgat1KO,15n03014,2,9791.838990485656
Mgat1KO,15n03017,2,7374.467320547267
Mgat1KO,15n03028,2,5000.191852412477
Mgat1KO,15n04002,2,5000.268142722702
Mgat1KO,15n04009,2,5000.193482591366
Mgat1KO,15n04014,2,8258.452143191778
Mgat1KO,15n04017,2,7209.2120038651055
Mgat1KO,15n04020,2,6454.658929652188
Mgat1KO,15n04023,2,5000.560063314704
Mgat1KO,15n04029,2,6813.070763037576
Mgat1KO,15n09002,2,5000.966409692192
Mgat1KO,15n09005,2,8500.977950105349
Mgat1KO,15n20005,2,5000.121396525839
Mgat1KO,15n20008,2,6238.788683293082
Mgat1KO,15n20012,2,5000.716632963645
Mgat1KO,15n24005,2,5000.05003985787
Mgat1KO,15n24010,2,9284.687422278012
Mgat1KO,15n24013,2,8500.374366621405
WT,15o26002,3,0.053614792747474424
WT,15o26005,3,6.118282180222988e-08
WT,15o26008,3,8.836476033734313e-07
WT,15o26014,3,0.058543719816688135
WT,15o26017,3,0.09274068758377436
WT,15o26020,3,3.056143618802841e-08
WT,15o26023,3,0.051037291726430775
WT,15o26031,3,0.04117573899383438
WT,15o29002,3,0.030458797652590193
WT,15o29009,3,0.0860096814463675
WT,15o29012,3,0.07200196877147386
WT,15o29015,3,0.04225886374687785
WT,15o29021,3,0.044018233752362336
WT,15o29024,3,0.029710848292374404
WT,15o29027,3,0.045214981607232016
WT,15o20002,3,0.09951244917270219
WT,15o20005,3,8.284159231462267e-07
WT,15o20010,3,0.06958806408111322
WT,15o20015,3,6.244431925199844e-07
WT,15o21003,3,0.05860330736986518
WT,15o21008,3,0.0632781259794262
WT,15o22002,3,2.1878418242329448e-07
WT,15o22008,3,0.05027563930836308
WT,15n10002,3,0.05317037301024961
WT,15n10009,3,0.03416034361005485
WT,15n10012,3,4.4206928860179965e-07
WT,15n23002,3,0.0779164488971789
WT,15n23005,3,1.496298764204055e-08
WT,15n23008,3,1.5838482745591895e-08
WT,15n23019,3,4.528197097950601e-07
WT,15n23022,3,0.102352763012149
Mgat1KO,15o27002,3,0.01670937187695793
Mgat1KO,15o27005,3,9.453039830004645e-08
Mgat1KO,15o27010,3,0.0075085134486194095
Mgat1KO,15o27018,3,1.2337396780655e-07
Mgat1KO,15o27025,3,1.7131396624602048e-07
Mgat1KO,15o27028,3,8.478126691872384e-07
Mgat1KO,15o27031,3,0.018721389867293936
Mgat1KO,15o28006,3,1.2204994944821075e-06
Mgat1KO,15o28009,3,9.29881491240528e-08
Mgat1KO,15o28012,3,0.005471099745248501
Mgat1KO,15n03002,3,1.0179230542167936e-06
Mgat1KO,15n03005,3,1.0809200201183512e-07
Mgat1KO,15n03014,3,0.018833507401247753
Mgat1KO,15n03017,3,0.02852478872592817
Mgat1KO,15n03028,3,0.03409572784684102
Mgat1KO,15n04002,3,0.02026891265666658
Mgat1KO,15n04009,3,0.017410307892760844
Mgat1KO,15n04014,3,5.162230302444932e-07
Mgat1KO,15n04017,3,4.0559766094606805e-07
Mgat1KO,15n04020,3,1.7446174776874554e-08
Mgat1KO,15n04023,3,0.018939295696137712
Mgat1KO,15n04029,3,2.3912275310519855e-07
Mgat1KO,15n09002,3,0.029703045491902447
Mgat1KO,15n09005,3,6.875259111503313e-07
Mgat1KO,15n20005,3,0.028719146082037735
Mgat1KO,15n20008,3,0.008344060190447197
Mgat1KO,15n20012,3,0.004640701935962359
Mgat1KO,15n24005,3,0.04157446176815751
Mgat1KO,15n24010,3,5.090767566582e-08
Mgat1KO,15n24013,3,2.1230695508140308e-08
