Group,file,param,value
WT,15o26002,1,4.033129090696644
WT,15o26005,1,-4.573985686414678
WT,15o26008,1,0.2860230588257397
WT,15o26014,1,4.30254114937991
WT,15o26017,1,0.8748143475722532
WT,15o26020,1,5.115976196045215
WT,15o26023,1,9.1272878543422
WT,15o26031,1,-0.5969807750756007
WT,15o29002,1,3.90430962192067
WT,15o29009,1,0.47131323756654636
WT,15o29012,1,7.95521572440477
WT,15o29015,1,5.017378793752184
WT,15o29021,1,6.507737193818694
WT,15o29024,1,5.355272649426355
WT,15o29027,1,2.3273320178497965
WT,15o20002,1,7.864266237565963
WT,15o20005,1,4.008048973212109
WT,15o20010,1,-2.0026529369649144
WT,15o20015,1,1.6539117506302967
WT,15o21003,1,6.1683767945806025
WT,15o21008,1,3.334004181195587
WT,15o22002,1,1.3796774735292925
WT,15o22008,1,0.2825137999599157
WT,15n10002,1,6.33970823397997
WT,15n10009,1,7.805931332295296
WT,15n10012,1,5.656159071624001
WT,15n23002,1,7.212401968797338
WT,15n23005,1,3.286523231927135
WT,15n23008,1,-1.0568152385226126
WT,15n23019,1,-0.5849576080037379
WT,15n23022,1,-2.0701801676368676
Mgat1KO,15o27002,1,-1.3834488184752776
Mgat1KO,15o27005,1,-6.703031388535013
Mgat1KO,15o27010,1,-3.311674004969565
Mgat1KO,15o27018,1,-0.715749089414819
Mgat1KO,15o27025,1,1.0607035069877313
Mgat1KO,15o27028,1,1.6998629771231049
Mgat1KO,15o27031,1,3.839735752377464
Mgat1KO,15o28006,1,-2.7010394439336887
Mgat1KO,15o28009,1,2.372822347703256
Mgat1KO,15o28012,1,-0.743089536751963
Mgat1KO,15n03002,1,1.5937977241268595
Mgat1KO,15n03005,1,6.737817453372261
Mgat1KO,15n03014,1,-4.015900060102309
Mgat1KO,15n03017,1,0.8708888587221402
Mgat1KO,15n03028,1,-0.5080555235333154
Mgat1KO,15n04002,1,1.066075112276649
Mgat1KO,15n04009,1,2.848844907286799
Mgat1KO,15n04014,1,-1.4993918422194994
Mgat1KO,15n04017,1,4.842250148731839
Mgat1KO,15n04020,1,1.2953517955221003
Mgat1KO,15n04023,1,5.667523463990136
Mgat1KO,15n04029,1,0.057330068622706815
Mgat1KO,15n09002,1,-3.1931884905600016
Mgat1KO,15n09005,1,2.220632442226134
Mgat1KO,15n20005,1,-7.837758324333208
Mgat1KO,15n20008,1,-3.403296527789162
Mgat1KO,15n20012,1,-3.8971493718361288
Mgat1KO,15n24005,1,2.4563723761006333
Mgat1KO,15n24010,1,-1.1517678275203287
Mgat1KO,15n24013,1,2.3882388129475736
WT,15o26002,2,31.10516141882426
WT,15o26005,2,47.7320645412313
WT,15o26008,2,47.77326237390527
WT,15o26014,2,35.74256173397601
WT,15o26017,2,45.97800178087069
WT,15o26020,2,48.890768552848606
WT,15o26023,2,33.398402159712326
WT,15o26031,2,36.2536377077532
WT,15o29002,2,48.09138590384834
WT,15o29009,2,48.04514435510931
WT,15o29012,2,33.543684393094246
WT,15o29015,2,31.356264352601332
WT,15o29021,2,35.507102984078934
WT,15o29024,2,32.90797972475012
WT,15o29027,2,38.301409427930956
WT,15o20002,2,46.39260429241957
WT,15o20005,2,47.53280167083072
WT,15o20010,2,32.596146822069876
WT,15o20015,2,47.4133207288024
WT,15o21003,2,32.37672019850552
WT,15o21008,2,47.365289561636686
WT,15o22002,2,32.78332682874664
WT,15o22008,2,29.110540338185142
WT,15n10002,2,33.090084873825255
WT,15n10009,2,47.530588246278526
WT,15n10012,2,47.22330127981763
WT,15n23002,2,42.37254975269068
WT,15n23005,2,48.88728669800692
WT,15n23008,2,48.530475419768884
WT,15n23019,2,47.42199787871017
WT,15n23022,2,47.4608002627914
Mgat1KO,15o27002,2,31.822933769804507
Mgat1KO,15o27005,2,33.73599005023258
Mgat1KO,15o27010,2,38.696100480254934
Mgat1KO,15o27018,2,45.709288050482726
Mgat1KO,15o27025,2,31.676337944512433
Mgat1KO,15o27028,2,46.897446930389485
Mgat1KO,15o27031,2,23.89657305707896
Mgat1KO,15o28006,2,31.92005354361249
Mgat1KO,15o28009,2,31.770632678177805
Mgat1KO,15o28012,2,44.79981107170553
Mgat1KO,15n03002,2,33.04268620617899
Mgat1KO,15n03005,2,36.28788601846834
Mgat1KO,15n03014,2,30.914585485631992
Mgat1KO,15n03017,2,25.451347753105402
Mgat1KO,15n03028,2,22.24055603314614
Mgat1KO,15n04002,2,33.20226765234603
Mgat1KO,15n04009,2,30.01517482998728
Mgat1KO,15n04014,2,27.065896632402424
Mgat1KO,15n04017,2,47.150259836267246
Mgat1KO,15n04020,2,47.83559954982419
Mgat1KO,15n04023,2,31.23452011852341
Mgat1KO,15n04029,2,33.03691960504093
Mgat1KO,15n09002,2,26.175865275645755
Mgat1KO,15n09005,2,33.18539294404845
Mgat1KO,15n20005,2,30.009139845246054
Mgat1KO,15n20008,2,29.0915313606559
Mgat1KO,15n20012,2,30.883377562980865
Mgat1KO,15n24005,2,24.620448973950953
Mgat1KO,15n24010,2,47.35304735859141
Mgat1KO,15n24013,2,32.78488148707447
