"file_name","R2_v1","L2_v1","R2_v2","L2_v2","R2_v3","L2_v3","R2_v4","L2_v4","R2_v5","L2_v5","R2_v6","L2_v6","R2_v7","L2_v7","R2_v8","L2_v8","R2_v9","L2_v9","mean_R2","mean_L2"
"15o26002.xlsx",0.1042,0.4033,0.8254,0.9406,0.9664,0.9078,0.9702,0.9515,0.9877,0.8927,0.9928,0.9568,0.9949,0.9474,0.9952,0.7664,0.9916,0.6813,0.8698222222222223,0.8275333333333333
"15o26005.xlsx",0.5015,0.1382,0.9674,0.9478,0.9845,0.6647,0.9932,0.8506,0.9921,0.9868,0.9962,0.6905,0.9866,0.8279,0.9946,0.6156,0.9946,0.8983,0.9345222222222223,0.7356
"15o26008.xlsx",0.8333,0.1199,0.9838,0.4869,0.9938,0.8834,0.991,0.9696,0.994,0.947,0.9964,0.8552,0.9964,0.8841,0.9938,0.8306,0.994,0.7191,0.9751666666666666,0.7439777777777777
"15o26014.xlsx",0.8213,0.108,0.9906,0.8022,0.9913,0.9817,0.9914,0.9615,0.9953,0.7002,0.9966,0.6389,0.9965,0.556,0.9947,0.9646,0.9947,0.6861,0.9747111111111111,0.7110222222222222
"15o26017.xlsx",0.6255,0.1316,0.9861,0.9207,0.9907,0.9459,0.9901,0.8978,0.9931,0.9383,0.9968,0.5701,0.9968,0.6838,0.9957,0.9682,0.9948,0.6623,0.9521777777777778,0.7465222222222222
"15o26020.xlsx",0.9369,0.4181,0.988,0.2889,0.9888,0.9791,0.9833,0.96,0.9894,0.9215,0.9791,0.9535,0.9936,0.782,0.9924,0.7479,0.9895,0.7846,0.9823333333333333,0.7595111111111111
"15o26023.xlsx",0.9613,0.6493,0.9871,0.8309,0.9946,0.9907,0.992,0.967,0.9931,0.836,0.9949,0.887,0.9955,0.9975,0.995,0.9899,0.9931,0.7191,0.9896222222222222,0.8741555555555556
"15o26031.xlsx",0.6379,0.3252,0.975,0.8187,0.9839,0.9975,0.9888,0.8905,0.9907,0.9888,0.9955,0.7643,0.9965,0.7486,0.9958,0.9756,0.994,0.7295,0.9509,0.8043
"15o29002.xlsx",0.8972,0.1386,0.9838,0.7873,0.9901,0.9372,0.9927,0.9923,0.9922,0.8489,0.9957,0.854,0.9941,0.9725,0.9766,0.9753,0.9649,0.9354,0.9763666666666667,0.8268333333333333
"15o29009.xlsx",0.7054,0.1383,0.9847,0.6123,0.9906,0.7613,0.9913,0.8426,0.995,0.6713,0.9972,0.8916,0.9961,0.9112,0.9777,0.9579,0.9841,0.7761,0.9580111111111111,0.7291777777777778
"15o29012.xlsx",0.9319,0.1608,0.9886,0.8395,0.9929,0.9978,0.9925,0.895,0.9955,0.8403,0.9968,0.7361,0.9964,0.9624,0.9959,0.9037,0.9943,0.8376,0.9872,0.7970222222222222
"15o29015.xlsx",0.8476,0.8317,0.959,0.9741,0.9839,0.8969,0.9844,0.9042,0.9892,0.8286,0.98740000000000006,0.7781,0.9601,0.9624,0.9531,0.9432,0.9373,0.8573,0.9557777777777777,0.8862777777777778
"15o29021.xlsx",0.908,0.1156,0.986,0.7587,0.9922,0.995,0.9941,0.977,0.9954,0.7737,0.9969,0.8361,0.9966,0.9764,0.9961,0.9731,0.9955,0.8582,0.9845333333333334,0.8070888888888889
"15o29024.xlsx",0.8572,0.3246,0.9699,0.9624,0.991,0.9351,0.9939,0.9951,0.995,0.989,0.9961,0.8452,0.9938,0.9767,0.9951,0.9935,0.9939,0.6782,0.9762111111111111,0.8555333333333334
"15o29027.xlsx",0.8497,0.366,0.9702,0.9272,0.9928,0.7657,0.9936,0.9986,0.9947,0.9378,0.9966,0.806,0.9969,0.9474,0.9958,0.9941,0.9941,0.8295,0.9760444444444445,0.8413666666666667
"15o20002.xlsx",0.9187,0.3186,0.9883,0.2363,0.9915,0.8045,0.9871,0.8692,0.9942,0.5485,0.9969,0.8283,0.9951,0.9876,0.9942,0.8082,0.991,0.6265,0.984111111111111,0.6697444444444445
"15o20005.xlsx",0.9672,0.3782,0.9918,0.3805,0.9835,0.9233,0.9768,0.9712,0.9799,0.846,0.9739,0.9111,0.9724,0.9764,0.9661,0.9327,0.9553,0.7451,0.9741,0.7849444444444444
"15o20010.xlsx",0.4824,0.169,0.9639,0.7412,0.9812,0.8573,0.9848,0.6405,0.9927,0.9308,0.9921,0.7177,0.9798,0.9454,0.9622,0.9766,0.9568,0.9123,0.9217666666666666,0.7656444444444445
"15o20015.xlsx",0.9041,0.2057,0.9892,0.5023,0.9901,0.9553,0.9789,0.9837,0.9768,0.9685,0.9767,0.9564,0.9731,0.9758,0.967,0.9776,0.9846,0.8334,0.9711666666666666,0.8176333333333333
"15o21003.xlsx",0.9102,0.4473,0.9819,0.4705,0.9924,0.942,0.9923,0.9726,0.9937,0.7134,0.9905,0.6569,0.9908,0.9152,0.9887,0.9919,0.9846,0.6127,0.9805666666666667,0.7469444444444444
"15o21008.xlsx",0.869,0.245,0.9811,0.7103,0.9839,0.834,0.982,0.9698,0.9891,0.8744,0.9888,0.8715,0.9854,0.9666,0.9823,0.9803,0.9797,0.8957,0.9712555555555555,0.8164
"15o22002.xlsx",0.688,0.8225,0.9484,0.855,0.9887,0.9713,0.9843,0.9036,0.9815,0.9905,0.98740000000000006,0.6853,0.9882,0.9808,0.9844,0.9638,0.9798,0.7517,0.9478555555555556,0.8805000000000001
"15o22008.xlsx",0.164,0.8248,0.6964,0.9512,0.9434,0.9472,0.9769,0.839,0.9799,0.8573,0.9805,0.8986,0.977,0.9841,0.9764,0.9823,0.9728,0.9232,0.8519222222222222,0.9119666666666667
"15n10002.xlsx",0.8288,0.3432,0.9663,0.9086,0.9805,0.6827,0.9878,0.9567,0.9904,0.8796,0.9882,0.8512,0.9834,0.9983,0.9799,0.983,0.976,0.9363,0.9645888888888889,0.8377333333333333
"15n10006.xlsx",0.8808,0.168,0.9913,0.6539,0.9913,0.7852,0.9896,0.966,0.9904,0.7721,0.9911,0.8594,0.9881,0.9443,0.9865,0.9724,0.9848,0.8163,0.9771,0.7708444444444444
"15n10009.xlsx",0.912,0.1623,0.9767,0.9777,0.9877,0.6623,0.9902,0.9628,0.9909,0.9423,0.9894,0.9218,0.9861,0.8805,0.9816,0.9884,0.9771,0.8385,0.9768555555555556,0.8151777777777778
"15n10012.xlsx",0.7794,0.8593,0.9575,0.8028,0.9792,0.8355,0.9793,0.988,0.9818,0.9378,0.9802,0.9295,0.977,0.8802,0.9762,0.8821,0.9705,0.8622,0.9534555555555555,0.8863777777777777
"15n23002.xlsx",0.7793,0.2224,0.9829,0.6616,0.9932,0.9827,0.9924,0.8856,0.9949,0.7442,0.9938,0.9059,0.9907,0.981,0.9887,0.9481,0.9855,0.9154,0.9668222222222222,0.8052111111111111
"15n23005.xlsx",0.9138,0.1368,0.9819,0.4279,0.9936,0.7597,0.9863,0.9689,0.9864,0.9491,0.9893,0.8429,0.9879,0.9614,0.9845,0.9551,0.9807,0.9243,0.9782666666666666,0.7695666666666666
"15n23008.xlsx",0.7173,0.1299,0.9678,0.6862,0.991,0.8353,0.9826,0.9686,0.9881,0.8743,0.9897,0.8652,0.9887,0.71,0.9861,0.999,0.9817,0.8629,0.9547777777777778,0.7701555555555556
"15n23011.xlsx",0.9441,0.5168,0.9806,0.3724,0.9951,0.9452,0.9905,0.9827,0.9905,0.9497,0.9917,0.7466,0.9905,0.9956,0.9883,0.9248,0.9852,0.8165,0.9840555555555556,0.8055888888888889
"15n23014.xlsx",0.8968,0.3117,0.9843,0.6084,0.9952,0.7565,0.9917,0.822,0.9905,0.9236,0.991,0.8567,0.99,0.9467,0.9875,0.999,0.9859,0.9108,0.9792111111111111,0.7928222222222222
"15n23019.xlsx",0.7961,0.1937,0.9864,0.2834,0.9957,0.6205,0.9915,0.9745,0.9905,0.9247,0.9922,0.8252,0.9919,0.9259,0.9901,0.8783,0.9859,0.7748,0.9689222222222222,0.7112222222222222
"15n23022.xlsx",0.8335,0.1043,0.981,0.8913,0.9829,0.3963,0.9901,0.9108,0.9882,0.8699,0.9931,0.9555,0.9917,0.5642,0.9889,0.9454,0.9847,0.8499,0.9704555555555555,0.7208444444444445
