"file_name","R2_v1","L2_v1","R2_v2","L2_v2","R2_v3","L2_v3","R2_v4","L2_v4","R2_v5","L2_v5","R2_v6","L2_v6","R2_v7","L2_v7","R2_v8","L2_v8","R2_v9","L2_v9","mean_R2","mean_L2"
"15o27002.xlsx",0.3888,0.7466,0.7459,0.7935,0.8972,0.9106,0.9654,0.9073,0.9847,0.9963,0.9818,0.9595,0.9802,0.9896,0.9777,0.9258,0.9711,0.9665,0.8769777777777777,0.9106333333333333
"15o27005.xlsx",0.4869,0.7409,0.8809,0.9848,0.9666,0.9535,0.9753,0.9925,0.9834,0.9553,0.9855,0.8606,0.9889,0.8808,0.9848,0.9722,0.981,0.9437,0.9148111111111111,0.9204777777777778
"15o27010.xlsx",0.4629,0.7079,0.7928,0.8254,0.9257,0.968,0.9608,0.9641,0.9819,0.9708,0.9859,0.978,0.9827,0.9523,0.9813,0.9485,0.9762,0.8131,0.8944666666666666,0.9031222222222223
"15o27018.xlsx",0.056,0.5512,0.7021,0.8431,0.913,0.9442,0.9615,0.9845,0.9812,0.9902,0.9872,0.9958,0.9842,0.9524,0.9785,0.8718,0.9732,0.8472,0.8374333333333334,0.8867111111111111
"15o27025.xlsx",0.0609,0.5323,0.6407,0.715,0.8655,0.9291,0.9672,0.9243,0.9823,0.952,0.9847,0.9665,0.9843,0.9698,0.9805,0.9258,0.9734,0.9099,0.8266111111111111,0.8694111111111111
"15o27028.xlsx",0.3464,0.9705,0.7334,0.9651,0.9078,0.9006,0.9555,0.967,0.9738,0.9917,0.9774,0.9507,0.9712,0.9438,0.9716,0.9704,0.9553,0.9446,0.8658222222222223,0.9560444444444445
"15o27031.xlsx",0.6483,0.8924,0.7539,0.8783,0.8972,0.9646,0.955,0.9823,0.9793,0.9961,0.9821,0.9923,0.982,0.987,0.979,0.9792,0.9718,0.9069,0.9054,0.9532333333333333
"15o28006.xlsx",0.8264,0.9829,0.9325,0.8265,0.9776,0.9454,0.988,0.813,0.9909,0.9243,0.9897,0.9012,0.9864,0.9796,0.9833,0.9952,0.9747,0.9538,0.9610555555555556,0.9246555555555556
"15o28009.xlsx",0.1035,0.5198,0.7881,0.6297,0.9507,0.8865,0.9795,0.9679,0.9853,0.9684,0.9857,0.9367,0.9819,0.962,0.9773,0.9465,0.9713,0.9841,0.8581444444444445,0.8668444444444444
"15o28012.xlsx",0.3935,0.6928,0.877,0.9388,0.9679,0.9598,0.9801,0.9559,0.9844,0.9138,0.9871,0.8968,0.9871,0.9977,0.9829,0.8799,0.9773,0.8327,0.9041444444444444,0.8964666666666666
