Group,file,param,value
WT,15o26002,1,0.06820009565406383
WT,15o26005,1,0.05147728735394926
WT,15o26008,1,0.05503851389412658
WT,15o26014,1,0.06967219298176135
WT,15o26017,1,0.08170779681271396
WT,15o26020,1,0.056299733485225344
WT,15o26023,1,0.20856068976865552
WT,15o26031,1,0.05592086798472891
WT,15o29002,1,0.06875881236395892
WT,15o29009,1,0.18132211410568222
WT,15o29012,1,0.06759860689648797
WT,15o29015,1,0.09946737705826923
WT,15o29021,1,0.0695750702913829
WT,15o29024,1,0.07278692053380083
WT,15o29027,1,0.07029330093634947
WT,15o20002,1,0.19805967567242952
WT,15o20005,1,4.809514556916225e-05
WT,15o20010,1,0.06468360585017977
WT,15o20015,1,0.06075296422719989
WT,15o21003,1,0.1577374183322856
WT,15o21008,1,0.0663830613344232
WT,15o22002,1,0.05845418480939749
WT,15o22008,1,0.9932734722639854
WT,15n10002,1,0.07115837785626535
WT,15n10009,1,0.08107400809947583
WT,15n10012,1,0.08986571869897154
WT,15n23002,1,0.14324523965036548
WT,15n23005,1,0.03170843012949996
WT,15n23008,1,0.03159285500280709
WT,15n23019,1,7.279622042669434e-05
WT,15n23022,1,0.18368033382757903
Mgat1KO,15o27002,1,0.054061949928481214
Mgat1KO,15o27005,1,0.03604775904434301
Mgat1KO,15o27010,1,0.04420886723926557
Mgat1KO,15o27018,1,0.05463405279559955
Mgat1KO,15o27025,1,0.0575246584065725
Mgat1KO,15o27028,1,0.0675006408053885
Mgat1KO,15o27031,1,0.05032558149245317
Mgat1KO,15o28006,1,0.06790581882445648
Mgat1KO,15o28009,1,0.07415620787695115
Mgat1KO,15o28012,1,0.07578320756100358
Mgat1KO,15n03002,1,0.08793007884749765
Mgat1KO,15n03005,1,0.09002797402281527
Mgat1KO,15n03014,1,0.05066667384323009
Mgat1KO,15n03017,1,7.072528092694272e-05
Mgat1KO,15n03028,1,0.06065723270727362
Mgat1KO,15n04002,1,0.07371684398825447
Mgat1KO,15n04009,1,0.07068373502562729
Mgat1KO,15n04014,1,0.01756089276247203
Mgat1KO,15n04017,1,0.10151841934242818
Mgat1KO,15n04020,1,0.07854698528328541
Mgat1KO,15n04023,1,0.08838168769578805
Mgat1KO,15n04029,1,0.09201046112707012
Mgat1KO,15n09002,1,0.06369311928046609
Mgat1KO,15n09005,1,0.07675640966014732
Mgat1KO,15n20005,1,0.18910064532392823
Mgat1KO,15n20008,1,0.00023159627795491688
Mgat1KO,15n20012,1,0.08053165031116478
Mgat1KO,15n24005,1,0.9846253376020035
Mgat1KO,15n24010,1,0.08685916880520024
Mgat1KO,15n24013,1,0.054478711341735285
WT,15o26002,2,1819.9798478566145
WT,15o26005,2,1999.9981791601765
WT,15o26008,2,1999.9906782372418
WT,15o26014,2,1999.9715209581343
WT,15o26017,2,1999.9519924155363
WT,15o26020,2,1999.9992197271295
WT,15o26023,2,1999.7329298802301
WT,15o26031,2,1999.9802604327863
WT,15o29002,2,1999.993499524036
WT,15o29009,2,1999.9879839905211
WT,15o29012,2,1999.727082637082
WT,15o29015,2,1999.9399308869044
WT,15o29021,2,1999.946188398295
WT,15o29024,2,1999.9899206802977
WT,15o29027,2,1999.9745241092821
WT,15o20002,2,1999.8166957136368
WT,15o20005,2,192.0037546309228
WT,15o20010,2,1999.984786779483
WT,15o20015,2,1999.9539280530862
WT,15o21003,2,1999.888503823619
WT,15o21008,2,1999.9738503922001
WT,15o22002,2,1999.9888576019698
WT,15o22008,2,1251.3570832771973
WT,15n10002,2,1999.8333293281537
WT,15n10009,2,1999.9847846765456
WT,15n10012,2,1999.9718951408654
WT,15n23002,2,1999.9029100131004
WT,15n23005,2,929.398802348025
WT,15n23008,2,975.8081749197569
WT,15n23019,2,190.66461473755854
WT,15n23022,2,1999.9449979189537
Mgat1KO,15o27002,2,1237.4617493253159
Mgat1KO,15o27005,2,1115.4650951390245
Mgat1KO,15o27010,2,749.6644629412781
Mgat1KO,15o27018,2,858.3655196220246
Mgat1KO,15o27025,2,1873.9889220205464
Mgat1KO,15o27028,2,1575.9326069596111
Mgat1KO,15o27031,2,695.0378621417432
Mgat1KO,15o28006,2,1999.9677575640164
Mgat1KO,15o28009,2,1999.994326100411
Mgat1KO,15o28012,2,1999.488920405605
Mgat1KO,15n03002,2,1999.9802709759297
Mgat1KO,15n03005,2,1999.994933227734
Mgat1KO,15n03014,2,1998.8152601166344
Mgat1KO,15n03017,2,609.601754487206
Mgat1KO,15n03028,2,1704.994442352354
Mgat1KO,15n04002,2,1999.6235076316639
Mgat1KO,15n04009,2,1901.0836487838537
Mgat1KO,15n04014,2,325.5254489844485
Mgat1KO,15n04017,2,1999.9843552922778
Mgat1KO,15n04020,2,1999.9990405295148
Mgat1KO,15n04023,2,1998.7839448970599
Mgat1KO,15n04029,2,1999.9858302687608
Mgat1KO,15n09002,2,443.03514861912174
Mgat1KO,15n09005,2,1999.9365157445507
Mgat1KO,15n20005,2,1997.4332462734749
Mgat1KO,15n20008,2,107.15941070327048
Mgat1KO,15n20012,2,1999.9190373629544
Mgat1KO,15n24005,2,366.2347415937238
Mgat1KO,15n24010,2,1999.9950371367559
Mgat1KO,15n24013,2,1999.997392177635
WT,15o26002,3,48.96713319570817
WT,15o26005,3,3.1148119858153026e-05
WT,15o26008,3,0.00019643395564375001
WT,15o26014,3,41.32374666271031
WT,15o26017,3,53.83075751217158
WT,15o26020,3,1.3999353242911316e-05
WT,15o26023,3,93.8196558163037
WT,15o26031,3,36.353063426224175
WT,15o29002,3,64.42620454227456
WT,15o29009,3,99.9898845997109
WT,15o29012,3,42.84947638692783
WT,15o29015,3,76.98004352214119
WT,15o29021,3,56.06241584369213
WT,15o29024,3,51.665408429515075
WT,15o29027,3,61.292663650927686
WT,15o20002,3,64.83555603351004
WT,15o20005,3,44.674706922627955
WT,15o20010,3,45.1316304063216
WT,15o20015,3,67.19961657524873
WT,15o21003,3,72.04596308752423
WT,15o21008,3,44.23787196889722
WT,15o22002,3,63.15059048789079
WT,15o22008,3,79.7437411225378
WT,15n10002,3,44.181810928525486
WT,15n10009,3,60.526782862881795
WT,15n10012,3,99.98295818829538
WT,15n23002,3,83.44779922896751
WT,15n23005,3,0.00017668732058948806
WT,15n23008,3,0.0001271750684739566
WT,15n23019,3,45.390994625964005
WT,15n23022,3,54.02888952699137
Mgat1KO,15o27002,3,46.98760375776942
Mgat1KO,15o27005,3,7.856428699158733
Mgat1KO,15o27010,3,45.76850001393579
Mgat1KO,15o27018,3,58.21858758506463
Mgat1KO,15o27025,3,43.19645714311167
Mgat1KO,15o27028,3,59.45186718224751
Mgat1KO,15o27031,3,61.245707515263476
Mgat1KO,15o28006,3,56.129344173344165
